Language,SVm (min),MLP,MLP(Coop) Jck,Linear (Coop) Jck,RNN,Kiper,Best ST 1.1 score,Best ST 1.1 sys
BG,"67,5","64,3","65,2","65,3","35,4","12,4",63,varIDE
DE,"51,5","48,7","48,7","50,6","20,9","6,8",45,TRAPACC_S
EL,"60,6","61,4","60,5","59,3","50,1","11,9",50,TRAPACC_S
EN,"36,1","32,3","35,6","35,8","17,1","10,7",33,TRAPACC
ES,"39,2","38,7","39,6","39,2","19,2","12,3",34,TRAPACC_S
EU,"79,3","78,7","82,1","82,7","36,3","14,6",76,TRAPACC_S
FA,"79,4","76,4","76,6","77,4","70,5",3,78,GBD-NER-resplit
FR,"61,1","56,1",57,"59,4","31,1","3,4",56,TRAVERSAL
HE,"38,5","45,4","45,1","40,5",25,"2,8",23,TRAVERSAL
HI,"72,4","63,8","61,9","68,5","51,4","1,5",73,CRF-DepTree-categs
HR,"57,4","55,1","59,3","58,9","22,7","3,6",55,TRAVERSAL
HU,"92,3","92,7","91,6","92,6","58,9",9,90,TRAPACC
IT,"59,3","49,4","56,3","59,7","24,8","10,3",49,TRAVERSAL
LT,"39,3","45,4","47,3","41,4","24,9","15,2",32,TRAPACC_S
PL,"64,7",68,72,"69,2",57,"2,9",67,TRAVERSAL
PT,"68,1",64,"58,6","68,6","34,8","11,8",62,TRAVERSAL
RO,"77,7","79,5","79,6",,"63,9","17,2",85,TRAPACC
SL,"44,2","59,9","54,5",,"23,8","9,1",64,TRAVERSAL
TR,"55,7","57,6","58,9",,"30,7","0,6",45,GBD-NER-standard
AVG,"60,23","59,86","60,55",,"36,76","8,37",54,TRAVERSAL
