BG,53.5,2.47,45,54,1 213 313,352058,None: 82 - 5: 26,0: 243 - None: 11
CS,71.1,2.3,(77,22,3 453 788,1700797,25: 42 - None: 237 - 50: 20 - 5: 206 - 100: 5,25: 15 - None: 99 - 50: 11 - 0: 369 - 5: 59 - 100: 5
DE,42.2,2.02,40,59,1 116 088,374640,None: 83 - 5: 21,0: 292 - None: 39 - 5: 7
EL,35.0,2.45,42,57,903 943,324667,None: 51 - 5: 28,0: 255 - None: 47 - 5: 14
ES,54.3,2.28,53,46,539 763,201663,None: 82 - 5: 22,0: 205 - None: 33 - 5: 8
FA,75.5,2.15,69,30,769 838,140712,0: 43 - None: 113 - 5: 54,0: 103 - None: 29 - 5: 10
FR,54.1,2.28,46,54,1 508 793,807555,None: 70 - 5: 32,None: 19 - 0: 168 - 5: 8
HE,16.1,2.67,25,75,1 233 108,174475,None: 31 - 5: 6,0: 327 - None: 29 - 5: 3
HU,66.8,1.28,79,21,585 593,275120,25: 7 - None: 36 - 5: 29,25: 4 - None: 23 - 0: 84 - 5: 16
IT,38.1,2.58,36,63,1 233 148,538080,None: 71 - 5: 13,0: 291 - None: 32 - 5: 7
LT,28.6,2.37,0,0,401 698,45435,None: 17,0: 79
MT,12.1,2.6,5,84,629 743,128814,None: 22,0: 393 - None: 24
PL,61.2,2.11,69,30,1 197 338,337884,None: 49 - 5: 52 - 50: 5 - 25: 5,0: 146 - None: 64 - 5: 31
PT,68.2,2.19,63,36,1 261 293,492205,25: 5 - None: 132 - 5: 63,0: 173 - None: 38 - 5: 7
RO,79.6,2.15,90,0,1 295 938,956907,None: 52 - 25: 9 - 50: 7 - 5: 81,0: 48 - None: 14 - 5: 10 - 25: 3
SV,10.5,2.15,,91,60 598,6615,None: 11,0: 189
SL,53.3,2.26,64,35,919 393,334128,None: 59 - 5: 45,0: 164 - None: 41 - 5: 18
TR,42.3,2.06,69,30,1 619 718,894036,None: 43 - 5: 45 - 50: 9 - 25: 13,0: 138 - None: 64 - 5: 39 - 50: 4 - 25: 11
